User,STweekDay,STdateOnly,SThourOfDay,actID,activityName,stTS,distInMPrev,durInSecPrev,SMinsSinceMidnight,durationInSeconds,ETweekDay,ETdateOnly,EThourOfDay
0,3,2014-01-15,13,2,Computer,2014-01-15T13:08:35Z,0,0,788,759,3,2014-01-15,13
0,3,2014-01-15,13,0,Others,2014-01-15T13:21:14Z,0,0,801,983,3,2014-01-15,13
0,3,2014-01-15,13,9,Socialising,2014-01-15T13:37:37Z,0,0,817,70,3,2014-01-15,13
0,3,2014-01-15,13,0,Others,2014-01-15T13:38:47Z,0,0,818,69,3,2014-01-15,13
0,3,2014-01-15,13,9,Socialising,2014-01-15T13:39:56Z,0,0,819,72,3,2014-01-15,13
0,3,2014-01-15,13,0,Others,2014-01-15T13:41:08Z,0,0,821,552,3,2014-01-15,13
0,3,2014-01-15,13,3,Eating,2014-01-15T13:50:20Z,0,0,830,645,3,2014-01-15,14
0,3,2014-01-15,14,9,Socialising,2014-01-15T14:01:05Z,0,0,841,73,3,2014-01-15,14
0,3,2014-01-15,14,0,Others,2014-01-15T14:02:18Z,0,0,842,142,3,2014-01-15,14
0,3,2014-01-15,14,3,Eating,2014-01-15T14:04:40Z,0,0,844,69,3,2014-01-15,14
0,3,2014-01-15,14,0,Others,2014-01-15T14:05:49Z,0,0,845,142,3,2014-01-15,14
